Country,City,0
ae,abu dhabi,45
af,qandahar,1
am,noyemberyan,1
am,yeghvard,1
ao,huambo,1
ar,azul,1
ar,bahia blanca,2
ar,catamarca,2
ar,comodoro rivadavia,1
ar,concordia,1
ar,cordoba,1
ar,general roca,2
ar,gualeguaychu,1
ar,jujuy,1
ar,la rioja,3
ar,libertador general san martin,1
ar,mercedes,4
ar,neuquen,2
ar,olavarria,3
ar,parana,1
ar,posadas,1
ar,presidencia roque saenz pena,3
ar,rafaela,1
ar,reconquista,2
ar,rio cuarto,1
ar,rosario,3
ar,san carlos de bariloche,1
ar,san juan,1
ar,san luis,1
ar,san vicente,1
ar,santa fe,1
ar,santiago del estero,1
ar,trelew,2
ar,tres arroyos,2
ar,tucuman,1
ar,ushuaia,915
ar,venado tuerto,1
ar,victoria,2
ar,viedma,1
ar,villa carlos paz,5
at,feldkirchen an der donau,1
at,innsbruck,1
at,landeck,1
at,reutte,1
at,sankt florian,1
at,waidhofen,1
at,wiener neustadt,1
au,albany,3
au,alice springs,9
au,australind,1
au,ballarat,1
au,broken hill,41
au,broome,1
au,burnie,2
au,carnarvon,7
au,collie,3
au,cooma,2
au,cootamundra,2
au,corowa,1
au,cowra,1
au,cranbourne,1
au,dalby,1
au,deniliquin,4
au,dubbo,2
au,emerald,5
au,esperance,168
au,flinders,131
au,forbes,1
au,gawler,3
au,geraldton,15
au,gladstone,1
au,goulburn,1
au,griffith,2
au,hobart,1
au,horsham,3
au,ingham,1
au,inverell,2
au,karratha,1
au,katherine,1
au,kununurra,2
au,kyabram,2
au,launceston,2
au,leeton,1
au,maryborough,2
au,mildura,3
au,moree,4
au,morwell,2
au,mount gambier,3
au,mount isa,4
au,murray bridge,6
au,narrabri,1
au,ngukurr,2
au,nhulunbuy,1
au,northam,12
au,orange,1
au,perth,1
au,port augusta,14
au,port hedland,8
au,port lincoln,3
au,port macquarie,1
au,rockhampton,1
au,roebourne,4
au,roma,1
au,sawtell,1
au,singleton,1
au,swan hill,3
au,tamworth,1
au,wagga wagga,1
au,whyalla,3
au,wollongong,1
au,yulara,125
az,lerik,1
az,susa,1
ba,gnojnica,1
ba,trebinje,1
bd,bhola,1
bd,dohar,1
bd,hajiganj,1
bd,ishurdi,1
bd,laksham,1
bd,pirganj,1
bd,sakhipur,2
be,beauvechain,1
be,gent,1
be,mettet,1
be,quievrain,1
bf,bogande,1
bf,diapaga,1
bf,gayeri,1
bf,hounde,1
bf,kaya,1
bf,koupela,1
bf,sapouy,1
bg,belogradcik,1
bg,kermen,1
bg,razgrad,1
bg,silistra,1
bg,trojan,1
bo,challapata,1
bo,huanuni,1
br,angra dos reis,1
br,araripe,1
br,astorga,1
br,balsas,1
br,barroso,1
br,bento goncalves,1
br,bocaiuva,1
br,bom sucesso,1
br,buritizeiro,1
br,cacapava do sul,1
br,cantanhede,1
br,casimiro de abreu,1
br,cassilandia,1
br,conceicao das alagoas,1
br,diamantina,1
br,encantado,1
br,foz do iguacu,1
br,frutal,1
br,governador valadares,1
br,gramado,1
br,guacui,1
br,itajuba,1
br,luziania,1
br,mafra,1
br,marilia,1
br,monte santo,1
br,niquelandia,1
br,nova serrana,1
br,ouro fino,1
br,palmas de monte alto,1
br,para de minas,1
br,parambu,1
br,paramirim,1
br,patos de minas,2
br,pendencias,1
br,pesqueira,1
br,pompeu,1
br,porto alegre,1
br,prainha,1
br,prata,1
br,promissao,1
br,quijingue,1
br,rio negro,1
br,sacramento,1
br,santa vitoria do palmar,1
br,sao francisco do sul,1
br,sao joao nepomuceno,1
br,sao jose do rio preto,1
br,sao luis de montes belos,1
br,sete lagoas,1
br,uberlandia,1
br,uruacu,1
br,varzea alegre,1
br,videira,1
br,vitoria da conquista,1
bw,mosetse,1
bw,sehithwa,2
bw,tsienyane,1
by,disna,1
by,salihorsk,1
by,stolin,1
by,zlobin,2
ca,ayr,1
ca,biggar,2
ca,black diamond,1
ca,bracebridge,1
ca,camrose,1
ca,carman,1
ca,desbiens,1
ca,drayton valley,1
ca,dresden,1
ca,edmonton,1
ca,eganville,1
ca,englehart,1
ca,gaspe,1
ca,gimli,1
ca,golden,1
ca,grimshaw,1
ca,hagersville,2
ca,humboldt,2
ca,lamont,3
ca,langham,2
ca,laurentides,1
ca,lloydminster,1
ca,madoc,2
ca,magrath,1
ca,maple creek,1
ca,mayo,2
ca,midland,1
ca,parry sound,1
ca,pinawa,2
ca,prince albert,1
ca,saint paul,1
ca,shaunavon,1
ca,shelburne,1
ca,sicamous,1
ca,smithville,1
ca,sorel,1
ca,southampton,1
ca,steinbach,1
ca,taber,1
ca,vermilion,1
ca,viking,2
ca,vulcan,1
ca,weyburn,1
ca,whitecourt,1
ca,whitehorse,2
ca,woodstock,1
ca,wynyard,1
ca,yellowknife,2
cd,basoko,1
cd,bumba,1
cd,moba,1
cf,baoro,1
cf,birao,1
ch,arosa,1
ch,dudingen,2
ch,ecublens,1
ch,kirchberg,1
ch,langnau,1
ch,nidau,1
ch,orbe,1
cl,antofagasta,59
cl,calama,7
cl,coihaique,2
cl,copiapo,7
cl,diego de almagro,7
cl,iquique,5
cl,mulchen,1
cl,ovalle,1
cl,punta arenas,111
cl,santiago,1
cl,taltal,315
cl,tocopilla,3
cm,guider,1
cm,tignere,2
cn,aksu,2
cn,altay,1
cn,babu,1
cn,baoying,1
cn,beipiao,1
cn,bose,1
cn,bozhou,1
cn,changde,1
cn,changji,1
cn,chifeng,3
cn,dafeng,1
cn,dangtu,1
cn,enshi,2
cn,fengxian,1
cn,fengzhen,1
cn,fuyang,1
cn,fuyu,1
cn,guangyuan,1
cn,guiyang,2
cn,hami,7
cn,hede,1
cn,hengshui,1
cn,heze,2
cn,hohhot,1
cn,huilong,2
cn,jiangyou,1
cn,jieshou,1
cn,jimo,1
cn,jinchengjiang,1
cn,jining,1
cn,jishou,1
cn,jiuquan,1
cn,jiutai,1
cn,lanxi,1
cn,laohekou,1
cn,leshan,1
cn,linjiang,1
cn,linxia,1
cn,minggang,1
cn,miyang,1
cn,nanchang,1
cn,nanhai,1
cn,nanning,1
cn,neijiang,1
cn,ningbo,1
cn,renqiu,1
cn,rucheng,1
cn,sanming,1
cn,shanghai,1
cn,shitanjing,1
cn,shizilu,1
cn,shuangyang,1
cn,suozhen,1
cn,taizhou,1
cn,taonan,1
cn,tongliao,1
cn,tongren,1
cn,urumqi,1
cn,wuan,1
cn,wulanhaote,1
cn,xiaolingwei,1
cn,xiazhen,1
cn,xihe,2
cn,xinan,1
cn,xingyi,1
cn,xiongzhou,1
cn,yangjiang,1
cn,yima,1
cn,yingcheng,1
cn,yingzhong,1
cn,yushan,1
cn,yushu,1
cn,zaoyang,1
cn,zhaodong,1
cn,zhuanghe,2
co,cali,1
co,santa rosa de viterbo,1
cr,san rafael,1
cu,manicaragua,1
cz,blansko,1
cz,broumov,1
cz,brtnice,1
cz,bystrice,2
cz,dobra,1
cz,horovice,1
cz,litomerice,1
cz,loket,1
cz,lutin,1
cz,lysa nad labem,1
cz,okrisky,1
cz,opava,1
cz,ostrava,1
cz,otrokovice,1
cz,police nad metuji,1
cz,pribram,1
cz,sedlcany,1
cz,tabor,1
cz,tepla,1
cz,usti nad orlici,1
cz,veseli nad moravou,1
cz,vimperk,1
cz,zlin,1
de,aachen,1
de,altenholz,1
de,altenstadt,1
de,auerbach,1
de,bad salzungen,1
de,barntrup,1
de,bitburg,1
de,brakel,1
de,bremervorde,1
de,darmstadt,1
de,eberswalde,1
de,eichstatt,1
de,gera,1
de,gutersloh,1
de,haiger,1
de,hildburghausen,1
de,hilpoltstein,1
de,ibbenburen,1
de,ilmenau,1
de,kirn,1
de,ludwigsfelde,1
de,mainz,1
de,marburg,1
de,mindelheim,1
de,minden,1
de,monschau,1
de,nauen,1
de,neustrelitz,1
de,nordhausen,1
de,obernkirchen,1
de,offenburg,1
de,oschersleben,1
de,osnabruck,1
de,overath,1
de,pirna,1
de,radeberg,1
de,salzwedel,1
de,schwalmstadt,1
de,trostberg,1
de,velen,1
de,waltershausen,1
de,wardenburg,2
de,wernigerode,1
de,zweibrucken,1
dk,aabenraa,1
dk,arhus,1
dk,gorlev,1
dk,maribo,1
dk,praesto,1
dz,adrar,371
dz,aflu,1
dz,birin,1
dz,tazmalt,1
dz,tigzirt,1
dz,warqla,179
ec,daule,1
ee,adavere,1
ee,mammaste,1
ee,orissaare,1
ee,valjala,1
eg,abnub,3
eg,alexandria,1
eg,aswan,1
eg,asyut,1
eg,el faiyum,2
eg,esna,1
eg,ismailia,1
eg,marsa matruh,7
eg,matay,5
eg,rosetta,1
eg,safaga,1
es,aguimes,3
es,albolote,1
es,almoradi,1
es,aranda de duero,1
es,barbastro,1
es,camas,1
es,canals,1
es,castelldefels,1
es,don benito,1
es,girona,1
es,la roda,1
es,leon,1
es,llanera,1
es,lleida,1
es,logrono,1
es,madrid,1
es,madridejos,1
es,molina de segura,1
es,monzon,1
es,murcia,1
es,olivenza,1
es,penarroya-pueblonuevo,1
es,puerto del rosario,18
es,reinosa,1
